"パッケージ名","バージョン（2026/05/29時点のCRANの最新）"
"abind","1.4-8"
"admiraldev","1.4.1"
"askpass","1.2.1"
"backports","1.5.1"
"base64enc","0.1-6"
"bigD","0.3.1"
"bit","4.6.0"
"bit64","4.8.2"
"bitops","1.0-9"
"blob","1.3.0"
"boot","1.3-32"
"brew","1.0-10"
"brio","1.1.5"
"broom.helpers","1.22.0"
"bslib","0.11.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-5"
"carData","3.0-6"
"cellranger","1.1.0"
"checkmate","2.3.4"
"cli","3.6.6"
"clipr","0.8.1"
"codetools","0.2-20"
"colorspace","2.1-2"
"commonmark","2.0.0"
"conflicted","1.2.0"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"crosstalk","1.2.2"
"curl","7.1.0"
"data.table","1.18.4"
"DBI","1.3.0"
"dbplyr","2.5.2"
"Deriv","4.2.0"
"desc","1.4.3"
"diffobj","0.3.6"
"digest","0.6.39"
"doBy","4.7.1"
"dtplyr","1.3.3"
"emmeans","2.0.3"
"estimability","1.5.1"
"evaluate","1.0.5"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"foreach","1.5.2"
"forecast","9.0.2"
"Formula","1.2-5"
"fracdiff","1.5-4"
"fs","2.1.0"
"gargle","1.6.1"
"gdtools","0.5.1"
"generics","0.1.4"
"glmnet","5.0"
"glue","1.8.1"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"graphics","(CRANに存在しません)"
"grDevices","(CRANに存在しません)"
"grid","(CRANに存在しません)"
"gridExtra","2.3"
"gt","1.3.0"
"gtable","0.3.6"
"highr","0.12"
"hms","1.1.4"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpuv","1.6.17"
"httr","1.4.8"
"ids","1.0.1"
"isoband","0.3.0"
"iterators","1.0.14"
"jinjar","0.3.2"
"jomo","2.7-6"
"jquerylib","0.1.4"
"juicyjuice","0.1.0"
"knitr","1.51"
"labeling","0.4.3"
"labelled","2.16.0"
"later","1.4.8"
"lattice","0.22-9"
"lazyeval","0.2.3"
"lifecycle","1.0.5"
"litedown","0.9"
"lme4","2.0-1"
"lmtest","0.9-40"
"magrittr","2.0.5"
"markdown","2.0"
"MASS","7.3-65"
"Matrix","1.7-5"
"MatrixModels","0.5-4"
"memoise","2.0.1"
"metacore","0.3.0"
"methods","(CRANに存在しません)"
"mgcv","1.9-4"
"microbenchmark","1.5.0"
"mime","0.13"
"minqa","1.2.8"
"mitml","0.4-5"
"modelr","0.1.11"
"mvtnorm","1.3-7"
"nestcolor","0.1.3"
"nlme","3.1-169"
"nloptr","2.2.1"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"officer","0.7.5"
"openssl","2.4.1"
"ordinal","2025.12-29"
"otel","0.2.0"
"pan","1.9"
"parallel","(CRANに存在しません)"
"parallelly","1.47.0"
"patchwork","1.3.2"
"pbkrtest","0.5.5"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgload","1.5.2"
"PKNCA","0.12.1"
"plotly","4.12.0"
"praise","1.0.0"
"prettyunits","1.2.0"
"processx","3.9.0"
"progress","1.2.3"
"promises","1.5.0"
"ps","1.9.3"
"quantreg","6.1"
"R6","2.6.1"
"ragg","1.5.2"
"rappdirs","0.3.4"
"rbibutils","2.4.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1-1.1"
"RcppArmadillo","15.2.6-1"
"RcppEigen","0.3.4.0.2"
"Rdpack","2.6.6"
"reactable","0.4.5"
"reactR","0.6.1"
"reformulas","0.4.4"
"rematch","2.0.0"
"rematch2","2.1.2"
"reprex","2.1.1"
"rmarkdown","2.31"
"roxygen2","8.0.0"
"rpart","4.1.27"
"rprojroot","2.1.1"
"rstudioapi","0.18.0"
"rvest","1.0.5"
"S7","0.2.2"
"sass","0.4.10"
"scales","1.4.0"
"selectr","0.5-1"
"shape","1.4.6.1"
"snakecase","0.11.1"
"sourcetools","0.1.7-2"
"SparseM","1.84-2"
"splines","(CRANに存在しません)"
"stats","(CRANに存在しません)"
"stringi","1.8.7"
"survival","3.8-6"
"sys","3.4.3"
"systemfonts","1.3.2"
"textshaping","1.0.5"
"tidyselect","1.2.1"
"timechange","0.4.0"
"timeDate","4052.112"
"tinytex","0.59"
"TMB","1.9.21"
"tools","(CRANに存在しません)"
"tzdb","0.5.0"
"ucminf","1.2.3"
"urca","1.3-4"
"utf8","1.2.6"
"utils","(CRANに存在しません)"
"uuid","1.2-2"
"V8","8.2.0"
"vctrs","0.7.3"
"viridisLite","0.4.3"
"vroom","1.7.1"
"waldo","0.6.2"
"withr","3.0.2"
"xfun","0.57"
"xml2","1.5.2"
"xtable","1.8-8"
"zip","2.3.3"
"zoo","1.8-15"
