"パッケージ名","バージョン（2026/05/29時点の内部リポジトリ最新）"
"abind","1.4-8"
"admiraldev","1.4.0.9000"
"admiralonco","1.4.0"
"arsenal","3.6.3"
"askpass","1.2.1"
"autoslider.core","0.3.2"
"backports","1.5.0"
"base64enc","0.1-3"
"bigD","0.3.1"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.2.4"
"boot","1.3-32"
"brew","1.0-10"
"brio","1.1.5"
"broom.helpers","1.22.0"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-3"
"carData","3.0-5"
"cellranger","1.1.0"
"checkmate","2.3.3"
"cli","3.6.5"
"clipr","0.8.0"
"codetools","0.2-20"
"colorspace","2.1-2"
"commonmark","2.0.0"
"conflicted","1.2.0"
"corrplot","(内部リポジトリに存在しません)"
"cowplot","1.2.0"
"cpp11","0.5.2"
"crayon","1.5.3"
"credentials","2.0.3"
"crosstalk","1.2.2"
"curl","7.0.0"
"data.table","1.17.8"
"DBI","1.2.3"
"dbplyr","2.5.1"
"Deriv","4.2.0"
"desc","1.4.3"
"diffobj","0.3.6"
"digest","0.6.37"
"doBy","4.7.1"
"DT","0.34.0"
"dtplyr","1.3.3"
"emmeans","2.0.0"
"estimability","1.5.1"
"evaluate","1.0.5"
"farver","2.1.2"
"fastmap","1.2.0"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"foreach","1.5.2"
"forecast","8.24.0"
"Formula","1.2-5"
"fracdiff","1.5-3"
"fs","1.6.6"
"gargle","1.6.0"
"gdtools","0.5.0"
"generics","0.1.4"
"gert","2.2.0"
"ggpubr","0.6.2"
"ggrepel","0.9.6"
"ggsci","4.1.0"
"ggsignif","0.6.4"
"gh","1.5.0"
"gitcreds","0.1.2"
"glmnet","4.1-10"
"glue","1.8.0"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"graphics","(内部リポジトリに存在しません)"
"grDevices","(内部リポジトリに存在しません)"
"grid","(内部リポジトリに存在しません)"
"gridExtra","2.3"
"gt","1.3.0"
"gtable","0.3.6"
"highr","0.11"
"hms","1.1.4"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr","1.4.7"
"httr2","1.2.1"
"ids","1.0.1"
"ini","0.3.1"
"isoband","0.2.7"
"iterators","1.0.14"
"jinjar","0.3.2"
"jomo","2.7-6"
"jquerylib","0.1.4"
"juicyjuice","0.1.0"
"knitr","1.50"
"labeling","0.4.3"
