"パッケージ名","バージョン（2026/05/29時点のCRANの最新）","Depends","Imports","LinkingTo","再帰依存（直接依存を除く）"
"admiral","1.4.1","","admiraldev, cli, dplyr, hms, lifecycle, lubridate, magrittr, purrr, rlang, stringr, tidyr, tidyselect","","brew, callr, commonmark, cpp11, desc, evaluate, fs, generics, glue, graphics, grDevices, highr, knitr, methods, pillar, pkgbuild, pkgconfig, pkgload, processx, ps, R6, roxygen2, rprojroot, stats, stringi, tibble, timechange, tools, utf8, utils, vctrs, withr, xfun, xml2, yaml"
"aNCA","0.1.0","","dplyr, flextable, formatters, ggplot2, magrittr, methods, officer, PKNCA, plotly, purrr, rlang, rlistings, scales, stats, stringr, tern, tidyr, units, utils","","abind, askpass, backports, base64enc, boot, broom, bslib, cachem, car, carData, checkmate, cli, colorspace, cowplot, cpp11, crosstalk, curl, data.table, Deriv, digest, doBy, emmeans, estimability, evaluate, farver, fastmap, fontawesome, fontBitstreamVera, fontLiberation, fontquiver, forcats, forecast, Formula, fracdiff, fs, gdtools, generics, glue, graphics, grDevices, grid, gridExtra, gtable, highr, htmltools, htmlwidgets, httr, isoband, jquerylib, jsonlite, knitr, labeling, later, lattice, lazyeval, lifecycle, lme4, lmtest, MASS, Matrix, MatrixModels, memoise, mgcv, microbenchmark, mime, minqa, modelr, mvtnorm, nestcolor, nlme, nloptr, nnet, numDeriv, openssl, otel, parallel, pbkrtest, pillar, pkgconfig, promises, quantreg, R6, ragg, rappdirs, rbibutils, RColorBrewer, Rcpp, RcppArmadillo, RcppEigen, Rdpack, reformulas, rmarkdown, rtables, S7, sass, SparseM, splines, stringi, survival, sys, systemfonts, textshaping, tibble, tidyselect, timeDate, tinytex, tools, urca, utf8, uuid, vctrs, viridisLite, withr, xfun, xml2, yaml, zip, zoo"
"arrow","24.0.0","","assertthat, bit64, glue, methods, purrr, R6, rlang, stats, tidyselect, utils, vctrs","cpp11","bit, cli, graphics, grDevices, lifecycle, magrittr, tools, withr"
"assertthat","0.2.1","","tools","",""
"broom","1.0.13","","backports, cli, dplyr, generics, glue, lifecycle, purrr, rlang, stringr, tibble, tidyr","","cpp11, graphics, grDevices, magrittr, methods, pillar, pkgconfig, R6, stats, stringi, tidyselect, tools, utf8, utils, vctrs, withr"
"cards","0.7.1","","cli, dplyr, glue, lifecycle, rlang, tidyr, tidyselect","","cpp11, generics, graphics, grDevices, magrittr, methods, pillar, pkgconfig, purrr, R6, stats, stringi, stringr, tibble, tools, utf8, utils, vctrs, withr"
"cardx","0.3.2","","cards, cli, dplyr, glue, lifecycle, rlang, tidyr","","cpp11, generics, graphics, grDevices, magrittr, methods, pillar, pkgconfig, purrr, R6, stats, stringi, stringr, tibble, tidyselect, tools, utf8, utils, vctrs, withr"
"chevron","0.2.12","","checkmate, dplyr, dunlin, forcats, formatters, ggplot2, glue, grid, lifecycle, lubridate, magrittr, methods, nestcolor, purrr, rlang, rlistings, rtables, stringr, tern, tibble, utils","","abind, backports, base64enc, boot, broom, car, carData, cli, colorspace, cowplot, cpp11, Deriv, digest, doBy, emmeans, estimability, farver, fastmap, forecast, Formula, fracdiff, generics, graphics, grDevices, gridExtra, gtable, htmltools, isoband, labeling, lattice, lme4, lmtest, MASS, Matrix, MatrixModels, mgcv, microbenchmark, minqa, modelr, mvtnorm, nlme, nloptr, nnet, numDeriv, parallel, pbkrtest, pillar, pkgconfig, quantreg, R6, rbibutils, RColorBrewer, Rcpp, RcppArmadillo, RcppEigen, Rdpack, reformulas, S7, scales, SparseM, splines, stats, stringi, survival, tidyr, tidyselect, timechange, timeDate, tools, urca, utf8, vctrs, viridisLite, withr, yaml, zoo"
"config","0.3.2","","yaml","",""
"crane","0.3.1","gtsummary","broom, broom.helpers, cards, cardx, cli, cowplot, dplyr, flextable, ggplot2, glue, gt, labeling, lifecycle, patchwork, rlang, survival, tidyr","","askpass, backports, base64enc, bigD, bit, bit64, bitops, bslib, cachem, clipr, commonmark, cpp11, crayon, curl, data.table, digest, evaluate, farver, fastmap, fontawesome, fontBitstreamVera, fontLiberation, fontquiver, forcats, fs, gdtools, generics, graphics, grDevices, grid, gtable, haven, highr, hms, htmltools, htmlwidgets, isoband, jquerylib, jsonlite, juicyjuice, knitr, labelled, lattice, litedown, magrittr, markdown, Matrix, memoise, methods, mime, officer, openssl, pillar, pkgconfig, prettyunits, progress, purrr, R6, ragg, rappdirs, RColorBrewer, Rcpp, reactable, reactR, readr, rmarkdown, S7, sass, scales, splines, stats, stringi, stringr, sys, systemfonts, textshaping, tibble, tidyselect, tinytex, tools, tzdb, utf8, utils, uuid, V8, vctrs, viridisLite, vroom, withr, xfun, xml2, yaml, zip"
"diffdf","1.1.2","","assertthat, methods, tibble","","cli, glue, lifecycle, magrittr, pillar, pkgconfig, rlang, tools, utf8, utils, vctrs"
"dplyr","1.2.1","","cli, generics, glue, lifecycle, magrittr, methods, pillar, R6, rlang, tibble, tidyselect, utils, vctrs","","graphics, grDevices, pkgconfig, utf8, withr"
"dunlin","0.1.12","","checkmate, dplyr, forcats, glue, magrittr, methods, rlang, stringr, tibble, yaml","","backports, cli, generics, graphics, grDevices, lifecycle, pillar, pkgconfig, R6, stats, stringi, tidyselect, tools, utf8, utils, vctrs, withr"
